1_Group_gene     2_Uni_entry  3_Gene    4_HMM_evalue  5_HMM_score  6_Closest_group_by_HMM
STE_MAP3K2       M3K2_HUMAN   MAP3K2    4.7e-85   279.9  STE
STE_MAP3K5       M3K5_HUMAN   MAP3K5    2.2e-84   277.7  STE
STE_MAP2K7       MP2K7_HUMAN  MAP2K7    4e-84     276.9  STE
STE_MAP3K6       M3K6_HUMAN   MAP3K6    2.1e-82   271.2  STE
STE_MAP3K4       M3K4_HUMAN   MAP3K4    5.9e-82   269.8  STE
STE_MAP3K8       M3K8_HUMAN   MAP3K8    1.7e-78   258.4  STE
STE_MAP3K1       M3K1_HUMAN   MAP3K1    6.3e-78   256.6  STE
STE_MAP3K14      M3K14_HUMAN  MAP3K14   1.4e-66   219.4  STE
OTHER_WNK3       WNK3_HUMAN   WNK3      4.2e-58   191.6  STE
OTHER_WNK1       WNK1_HUMAN   WNK1      5.6e-57   187.9  STE
OTHER_WNK4       WNK4_HUMAN   WNK4      2.9e-55   182.3  STE
OTHER_WNK2       WNK2_HUMAN   WNK2      1.3e-54   180.2  STE
OTHER_IKBKE      IKKE_HUMAN   IKBKE     1.8e-45   150.2  STE
OTHER_TBK1       TBK1_HUMAN   TBK1      7.7e-44   144.9  STE
OTHER_PKMYT1     PMYT1_HUMAN  PKMYT1    5.5e-42   138.8  STE
OTHER_TBCK       TBCK_HUMAN   TBCK      7.1e-37   122.0  STE
OTHER_STKLD1     STKL1_HUMAN  STKLD1    4.7e-35   116.1  STE
OTHER_EIF2AK4_1  E2AK4_HUMAN  EIF2AK4   1.1e-32   108.3  STE
OTHER_NRBP1      NRBP_HUMAN   NRBP1     3.3e-29   96.9   STE
OTHER_SCYL1      SCYL1_HUMAN  SCYL1     3.8e-16   54.1   STE
OTHER_RNASEL     RN5A_HUMAN   RNASEL    1.9e-14   48.5   STE
TKL_ACVR1        ACVR1_HUMAN  ACVR1     1.1e-92   305.2  TKL
TKL_TGFBR1       TGFR1_HUMAN  TGFBR1    1.7e-92   304.6  TKL
TKL_ACVR2A       AVR2A_HUMAN  ACVR2A    2.7e-91   300.6  TKL
TKL_BMPR1B       BMR1B_HUMAN  BMPR1B    1e-90     298.8  TKL
TKL_IRAK1        IRAK1_HUMAN  IRAK1     7e-90     296.0  TKL
TKL_ACVR1C       ACV1C_HUMAN  ACVR1C    1.2e-89   295.2  TKL
TKL_IRAK4        IRAK4_HUMAN  IRAK4     1.5e-89   294.9  TKL
TKL_ACVR1B       ACV1B_HUMAN  ACVR1B    2.7e-89   294.1  TKL
TKL_BMPR1A       BMR1A_HUMAN  BMPR1A    3.6e-89   293.7  TKL
TKL_ACVRL1       ACVL1_HUMAN  ACVRL1    6.2e-88   289.6  TKL
TKL_BRAF         BRAF_HUMAN   BRAF      6e-86     283.1  TKL
TKL_TGFBR2       TGFR2_HUMAN  TGFBR2    1.3e-85   282.0  TKL
TKL_RAF1         RAF1_HUMAN   RAF1      4.1e-85   280.3  TKL
TKL_ACVR2B       AVR2B_HUMAN  ACVR2B    3.6e-84   277.2  TKL
TKL_LIMK2        LIMK2_HUMAN  LIMK2     1.4e-81   268.7  TKL
TKL_ARAF         ARAF_HUMAN   ARAF      1.7e-81   268.5  TKL
TKL_BMPR2        BMPR2_HUMAN  BMPR2     1.8e-81   268.4  TKL
TKL_LIMK1        LIMK1_HUMAN  LIMK1     2e-81     268.3  TKL
TKL_RIPK4        RIPK4_HUMAN  RIPK4     2.6e-79   261.3  TKL
TKL_TNNI3K       TNI3K_HUMAN  TNNI3K    4.4e-79   260.6  TKL
TKL_RIPK2        RIPK2_HUMAN  RIPK2     1.8e-78   258.6  TKL
TKL_LRRK1        LRRK1_HUMAN  LRRK1     4e-78     257.4  TKL
TKL_RIPK1        RIPK1_HUMAN  RIPK1     5.3e-78   257.0  TKL
TKL_ANKK1        ANKK1_HUMAN  ANKK1     2.1e-76   251.8  TKL
TKL_KSR2         KSR2_HUMAN   KSR2      2.6e-75   248.2  TKL
TKL_IRAK3        IRAK3_HUMAN  IRAK3     6.3e-75   246.9  TKL
TKL_TESK1        TESK1_HUMAN  TESK1     1.9e-73   242.1  TKL
TKL_KSR1         KSR1_HUMAN   KSR1      5.5e-73   240.6  TKL
TKL_IRAK2        IRAK2_HUMAN  IRAK2     5.8e-73   240.5  TKL
TKL_TESK2        TESK2_HUMAN  TESK2     7.5e-73   240.1  TKL
TKL_AMHR2        AMHR2_HUMAN  AMHR2     3.6e-72   237.9  TKL
TKL_RIPK3        RIPK3_HUMAN  RIPK3     3.9e-71   234.5  TKL
STE_MAP3K11      M3K11_HUMAN  MAP3K11   4.5e-67   221.2  TKL
STE_MAP3K20      M3K20_HUMAN  MAP3K20   5e-67     221.0  TKL
STE_MAP3K10      M3K10_HUMAN  MAP3K10   1.6e-66   219.4  TKL
STE_MAP3K9       M3K9_HUMAN   MAP3K9    2.5e-66   218.8  TKL
STE_MAP3K21      M3K21_HUMAN  MAP3K21   2.8e-66   218.6  TKL
STE_MAP3K7       M3K7_HUMAN   MAP3K7    6.9e-66   217.3  TKL
TKL_ILK          ILK_HUMAN    ILK       2.2e-65   215.6  TKL
TKL_LRRK2        LRRK2_HUMAN  LRRK2     1.2e-63   210.0  TKL
STE_MAP3K12      M3K12_HUMAN  MAP3K12   8.8e-60   197.3  TKL
OTHER_MLKL       MLKL_HUMAN   MLKL      1.9e-52   173.2  TKL
OTHER_MOS        MOS_HUMAN    MOS       3.2e-47   156.1  TKL
OTHER_PDIK1L     PDK1L_HUMAN  PDIK1L    6.9e-45   148.4  TKL
OTHER_STK35      STK35_HUMAN  STK35     2.6e-43   143.3  TKL
STE_PBK          TOPK_HUMAN   PBK       5.7e-43   142.2  TKL
OTHER_DSTYK      DUSTY_HUMAN  DSTYK     5.8e-40   132.3  TKL
OTHER_TEX14      TEX14_HUMAN  TEX14     1.2e-29   98.5   TKL
OTHER_NRBP12     NRBP2_HUMAN  NRBP2     6.8e-27   89.4   TKL
OTHER_PIK3R4     PI3R4_HUMAN  PIK3R4    2.7e-20   67.8   TKL
OTHER_POMK       SG196_HUMAN  POMK      2.2e-17   58.2   TKL
OTHER_STK31      STK31_HUMAN  STK31     3.1e-16   54.5   TKL
OTHER_PKDCC      PKDCC_HUMAN  PKDCC     8.7e-13   43.2   TKL
OTHER_TP53RK     PRPK_HUMAN   TP53RK    1.5e-11   39.1   TKL
OTHER_SCYL3      PACE1_HUMAN  SCYL3     6.6e-10   33.7   TKL
OTHER_PXK        PXK_HUMAN    PXK       5.3e-09   30.7   TKL
TYR_EPHA3        EPHA3_HUMAN  EPHA3     1.4e-114  376.7  TYR
TYR_EPHA5        EPHA5_HUMAN  EPHA5     2.7e-113  372.5  TYR
TYR_EPHA6        EPHA6_HUMAN  EPHA6     3.4e-113  372.2  TYR
TYR_EPHA7        EPHA7_HUMAN  EPHA7     4.2e-113  371.9  TYR
TYR_EPHA4        EPHA4_HUMAN  EPHA4     4.5e-113  371.8  TYR
TYR_EPHB1        EPHB1_HUMAN  EPHB1     7.8e-113  371.0  TYR
TYR_EPHB2        EPHB2_HUMAN  EPHB2     1.2e-112  370.4  TYR
TYR_EPHA2        EPHA2_HUMAN  EPHA2     1.4e-111  366.9  TYR
TYR_PDGFRA       PGFRA_HUMAN  PDGFRA    2.4e-109  359.6  TYR
TYR_EPHB3        EPHB3_HUMAN  EPHB3     6.5e-109  358.1  TYR
TYR_PDGFRB       PGFRB_HUMAN  PDGFRB    2.9e-108  356.0  TYR
TYR_FGFR3        FGFR3_HUMAN  FGFR3     5.8e-108  355.0  TYR
TYR_FGFR1        FGFR1_HUMAN  FGFR1     6.2e-108  354.9  TYR
TYR_EPHB4        EPHB4_HUMAN  EPHB4     7e-108    354.7  TYR
TYR_FGFR2        FGFR2_HUMAN  FGFR2     7.1e-108  354.7  TYR
TYR_CSF1R        CSF1R_HUMAN  CSF1R     1.2e-107  354.0  TYR
TYR_NTRK2        NTRK2_HUMAN  NTRK2     7e-107    351.5  TYR
TYR_EPHA8        EPHA8_HUMAN  EPHA8     2.4e-106  349.7  TYR
TYR_FLT1         VGFR1_HUMAN  FLT1      1e-105    347.6  TYR
TYR_FLT3         FLT3_HUMAN   FLT3      1.5e-105  347.1  TYR
TYR_KIT          KIT_HUMAN    KIT       9.5e-105  344.5  TYR
TYR_RET          RET_HUMAN    RET       1.2e-104  344.1  TYR
TYR_EPHA1        EPHA1_HUMAN  EPHA1     1.4e-104  343.9  TYR
TYR_FGFR4        FGFR4_HUMAN  FGFR4     3.5e-104  342.6  TYR
TYR_NTRK1        NTRK1_HUMAN  NTRK1     5.6e-104  341.9  TYR
TYR_ABL1         ABL1_HUMAN   ABL1      7.5e-104  341.5  TYR
TYR_KDR          VGFR2_HUMAN  KDR       7.5e-103  338.3  TYR
TYR_NTRK3        NTRK3_HUMAN  NTRK3     1.3e-102  337.5  TYR
TYR_FLT4         VGFR3_HUMAN  FLT4      1.4e-102  337.4  TYR
TYR_FRK          FRK_HUMAN    FRK       1.9e-102  336.9  TYR
TYR_ABL2         ABL2_HUMAN   ABL2      6.2e-102  335.3  TYR
TYR_MUSK         MUSK_HUMAN   MUSK      4.8e-101  332.3  TYR
TYR_FER          FER_HUMAN    FER       3.6e-100  329.5  TYR
TYR_INSR         INSR_HUMAN   INSR      3.9e-100  329.3  TYR
TYR_HCK          HCK_HUMAN    HCK       9e-100    328.2  TYR
TYR_LYN          LYN_HUMAN    LYN       3.3e-99   326.3  TYR
TYR_IGF1R        IGF1R_HUMAN  IGF1R     5.2e-99   325.7  TYR
TYR_ROS1         ROS1_HUMAN   ROS1      1.3e-98   324.4  TYR
TYR_ROR1         ROR1_HUMAN   ROR1      2.8e-98   323.3  TYR
TYR_LCK          LCK_HUMAN    LCK       4.1e-98   322.7  TYR
TYR_TEC          TEC_HUMAN    TEC       4.1e-98   322.7  TYR
TYR_SRC          SRC_HUMAN    SRC       4.4e-98   322.6  TYR
TYR_FES          FES_HUMAN    FES       7.5e-98   321.9  TYR
TYR_FYN          FYN_HUMAN    FYN       7.5e-98   321.9  TYR
TYR_DDR2         DDR2_HUMAN   DDR2      1.7e-97   320.7  TYR
TYR_TXK          TXK_HUMAN    TXK       5.7e-97   319.0  TYR
TYR_BMX          BMX_HUMAN    BMX       6.8e-97   318.7  TYR
TYR_PTK2         FAK1_HUMAN   PTK2      1.1e-96   318.0  TYR
TYR_YES1         YES_HUMAN    YES1      1.7e-96   317.4  TYR
TYR_BTK          BTK_HUMAN    BTK       2e-96     317.2  TYR
TYR_ITK          ITK_HUMAN    ITK       3.4e-96   316.4  TYR
TYR_MERTK        MERTK_HUMAN  MERTK     3.6e-96   316.4  TYR
TYR_DDR1         DDR1_HUMAN   DDR1      5.2e-96   315.8  TYR
TYR_AXL          UFO_HUMAN    AXL       7.5e-96   315.3  TYR
TYR_PTK2B        FAK2_HUMAN   PTK2B     7.9e-96   315.2  TYR
TYR_MET          MET_HUMAN    MET       1.7e-95   314.2  TYR
TYR_ERBB4        ERBB4_HUMAN  ERBB4     2.2e-95   313.8  TYR
TYR_INSRR        INSRR_HUMAN  INSRR     7.2e-95   312.1  TYR
TYR_TEK          TIE2_HUMAN   TEK       1.8e-94   310.8  TYR
TYR_ROR2         ROR2_HUMAN   ROR2      2e-94     310.7  TYR
TYR_TIE1         TIE1_HUMAN   TIE1      2e-94     310.6  TYR
TYR_ALK          ALK_HUMAN    ALK       3e-94     310.0  TYR
TYR_TYRO3        TYRO3_HUMAN  TYRO3     6e-94     309.1  TYR
TYR_BLK          BLK_HUMAN    BLK       6.7e-94   308.9  TYR
TYR_ZAP70        ZAP70_HUMAN  ZAP70     7.4e-94   308.8  TYR
TYR_SYK          KSYK_HUMAN   SYK       1.6e-93   307.7  TYR
TYR_FGR          FGR_HUMAN    FGR       2.6e-93   307.0  TYR
TYR_SRMS         SRMS_HUMAN   SRMS      1.6e-92   304.4  TYR
TYR_MST1R        RON_HUMAN    MST1R     3.3e-92   303.4  TYR
TYR_PTK6         PTK6_HUMAN   PTK6      1.2e-91   301.5  TYR
TYR_EGFR         EGFR_HUMAN   EGFR      2e-91     300.8  TYR
TYR_CSK          CSK_HUMAN    CSK       3.4e-91   300.1  TYR
TYR_MATK         MATK_HUMAN   MATK      4.6e-91   299.6  TYR
TYR_JAK1_2       JAK1_HUMAN   JAK1      6.7e-91   299.1  TYR
TYR_JAK2_2       JAK2_HUMAN   JAK2      8.2e-91   298.8  TYR
TYR_LTK          LTK_HUMAN    LTK       1.1e-90   298.3  TYR
TYR_PTK7         PTK7_HUMAN   PTK7      2.6e-90   297.2  TYR
TYR_EPHA10       EPHAA_HUMAN  EPHA10    3.3e-90   296.8  TYR
TYR_ERBB2        ERBB2_HUMAN  ERBB2     1.4e-89   294.7  TYR
TYR_TNK2         ACK1_HUMAN   TNK2      2.7e-89   293.8  TYR
TYR_TYK2_2       TYK2_HUMAN   TYK2      4e-85     280.2  TYR
TYR_JAK3_2       JAK3_HUMAN   JAK3      1.6e-84   278.2  TYR
TYR_ERBB3        ERBB3_HUMAN  ERBB3     1.2e-83   275.3  TYR
TYR_RYK          RYK_HUMAN    RYK       2.4e-83   274.3  TYR
TYR_EPHB6        EPHB6_HUMAN  EPHB6     5.6e-81   266.6  TYR
TYR_LMTK3        LMTK3_HUMAN  LMTK3     1.5e-76   252.1  TYR
TYR_AATK         LMTK1_HUMAN  AATK      3e-75     247.8  TYR
TYR_TNK1         TNK1_HUMAN   TNK1      1.3e-73   242.4  TYR
TYR_STYK1        STYK1_HUMAN  STYK1     1.6e-72   238.8  TYR
TYR_LMTK2        LMTK2_HUMAN  LMTK2     4e-70     231.0  TYR
TYR_JAK2_1       JAK2_HUMAN   JAK2      4.1e-67   221.1  TYR
TYR_JAK1_1       JAK1_HUMAN   JAK1      1.4e-64   212.9  TYR
TYR_TYK2_1       TYK2_HUMAN   TYK2      1.4e-63   209.6  TYR
STE_MAP3K13      M3K13_HUMAN  MAP3K13   2.9e-62   205.2  TYR
TYR_JAK3_1       JAK3_HUMAN   JAK3      1.1e-58   193.5  TYR
